68.25,15650,70,70
57.99999999999999,9800,58,58
52.5,4600,47,58
54.150000000000006,6200,57,57
61,11150,61,61
43,500,43,43
62,13550,62,62
59,12200,59,59
63,10800,63,63
50.15,4500,59,59
51.6,4550,38,55
42.300000000000004,500,47,47
46,1100,46,47
57.6,8700,64,64
59,10600,59,59
52,4500,40,55
45.9,1100,51,51
33,500,33,33
47.699999999999996,2100,47,48
45.9,1100,51,51
62.00000000000001,11200,62,62
50,3800,50,50
62.2,13850,62,66
60.05,10150,60,61
78.1,20000,76,79
59.475,9500,61,61
66.80000000000001,14000,30,76
65.6,13800,48,70
30.599999999999998,500,36,36
52.099999999999994,5400,50,53
60,11550,60,60
